,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn
0,Masculino,0,Sim,Sim,72,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,24.1,1734.65,Nao
1,Feminino,0,Nao,Nao,44,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,88.15,3973.2,Nao
2,Feminino,1,Sim,Nao,38,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,74.95,2869.85,Sim
3,Masculino,0,Nao,Nao,4,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.9,238.5,Nao
4,Masculino,0,Nao,Nao,2,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,53.45,119.5,Nao
5,Feminino,0,Sim,Nao,70,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Sim,2 anos,Sim,DebitoAutomatico,49.85,3370.2,Nao
6,Feminino,0,Nao,Nao,33,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,90.65,2989.6,Nao
7,Feminino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,24.9,24.9,Nao
8,Masculino,0,Nao,Nao,39,Nao,SemTelefone,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Anual,Nao,BoletoImpresso,35.55,1309.15,Nao
9,Masculino,1,Nao,Nao,55,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,116.5,6382.55,Nao
10,Masculino,0,Sim,Sim,52,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Nao,Anual,Sim,BoletoEletronico,68.75,3482.85,Nao
11,Feminino,0,Sim,Sim,30,Nao,SemTelefone,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Nao,CartaoCredito,51.2,1561.5,Sim
12,Masculino,1,Sim,Nao,60,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,99.0,6017.9,Nao
13,Masculino,0,Sim,Sim,50,Sim,Sim,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Anual,Nao,DebitoAutomatico,54.9,2614.1,Nao
14,Feminino,0,Nao,Nao,32,Sim,Sim,Fibra,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Sim,DebitoAutomatico,109.55,3608,Nao
15,Masculino,0,Sim,Nao,51,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,DebitoAutomatico,106.8,5498.8,Nao
16,Masculino,0,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,74.3,74.3,Nao
17,Feminino,0,Sim,,69,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,25.6,1673.4,Nao
18,Feminino,0,Sim,Sim,42,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.2,4186.3,Sim
19,Masculino,0,Sim,Nao,14,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,46.35,667.7,Sim
20,Masculino,0,Nao,Sim,52,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,25.6,1334.5,Nao
21,Masculino,0,Sim,Nao,62,Sim,Sim,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,107.6,6912.7,Nao
22,Feminino,0,Sim,Sim,72,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.55,1463.45,Nao
23,Masculino,0,Nao,Nao,32,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,96.2,3183.4,Sim
24,Feminino,1,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.65,69.65,Sim
25,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,2 anos,Nao,DebitoAutomatico,78.5,5602.25,Nao
